"CMS Certification Number (CCN)","Network","Facility Name","Address Line 1","Address Line 2","City/Town","State","ZIP Code","County/Parish","Telephone Number","Profit or Non-Profit","Chain Owned","Chain Organization","ICH-CAHPS date","ICH-CAHPS data availability code","Lower box percent of patients-nephrologists' communication and caring","Middle box percent of patients-nephrologists' communication and caring","Top box percent of patients-nephrologists' communication and caring","Linearized score of nephrologists' communication and caring","Star rating of nephrologists' communication and caring","Lower box percent of patients-quality of dialysis center care and operations","Middle box percent of patients-quality of dialysis center care and operations","Top box percent of patients-quality of dialysis center care and operations","Linearized score of quality of dialysis center care and operations","Star rating of quality of dialysis center care and operations","Lower box percent of patients-providing information to patients","Top box percent of patients- providing information to patients","Linearized score of providing information to patients","Star rating of providing information to patients","Lower box percent of patients-rating of the nephrologist","Middle box percent of patients- rating of the nephrologist","Top box percent of patients- rating of the nephrologist","Linearized score of rating of the nephrologist","Star rating of the nephrologist","Lower box percent of patients-rating of the dialysis center staff","Middle box percent of patients-rating of the dialysis center staff","Top box percent of patients-rating of the dialysis center staff","Linearized score of rating of the dialysis center staff","Star rating of the dialysis center staff","Lower box percent of patients-rating of the dialysis facility","Middle box percent of patients-rating of the dialysis facility","Top box percent of patients-rating of the dialysis facility","Linearized score of rating of the dialysis facility","Star rating of the dialysis facility","Total number of completed interviews from the Fall and Spring Surveys","ICH CAHPS Survey of patients' experiences star rating","Survey response rate"
272503,16,FMC BOZEMAN,937 HIGHLAND BLVD #5100,,BOZEMAN,MT,59715,Gallatin,(406) 522-9849,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272504,16,DCI BLACKFEET,808 HOSPITAL CIRCLE,,BROWNING,MT,59417,Glacier,(406) 338-7472,Non-profit,Yes,"Dialysis Clinic, Inc.",21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272505,16,DCI LIBBY,463 West 9th Street,,Libby,MT,59923,Lincoln,(406) 293-9913,Non-profit,Yes,"Dialysis Clinic, Inc.",21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272506,16,DCI KALISPELL,135 COMMONS WAY,,KALISPELL,MT,59901,Flathead,(406) 756-5565,Non-profit,Yes,"Dialysis Clinic, Inc.",21OCT2022-14JUL2023,001,23,17,60,76,2,12,21,67,84,4,23,77,77,3,19,24,57,81,3,3,21,76,92,5,7,24,69,91,4,38,4,34
272507,16,FMC MISSOULA,3100 Great Northern Ave,,MISSOULA,MT,59808,Missoula,(406) 549-2980,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272508,16,FMC BUTTE,3745 HARRISON AVE STE D,,BUTTE,MT,59701,Silver Bow,(406) 494-7027,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272509,16,DaVita Great Falls Dialysis,3400 10th Ave South,Suite 1,GREAT FALLS,MT,59405,Cascade,(406) 727-0411,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272510,16,BILLINGS CLINIC DIALYSIS,616 N 25th St,,Billings,MT,59101,Yellowstone,(406) 545-4380,Non-profit,Yes,"Dialysis Clinic, Inc.",21OCT2022-14JUL2023,001,13,13,74,86,4,16,17,67,82,4,17,83,83,4,10,19,71,90,5,4,25,71,91,4,6,9,85,93,5,37,4,23
272511,16,FRESENIUS MEDICAL CARE POLSON,305 RIDGEWATER DR,,POLSON,MT,59860,Lake,(406) 883-3570,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272512,16,FRESENIUS GREAT FALLS CLINIC DIALYSIS,1724 26TH STREET S,,GREAT FALLS,MT,59405,Cascade,(406) 761-3007,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272513,16,DCI POLSON,303 RIDGEWATER DR,,POLSON,MT,59860,Lake,(406) 883-0534,Non-profit,Yes,"Dialysis Clinic, Inc.",21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272514,16,DCI FRONTIER,2708 MAIN STREET UNIT #4,,MILES CITY,MT,59301,Custer,(406) 233-4312,Non-profit,Yes,"Dialysis Clinic, Inc.",21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272515,16,COMMUNITY MEDICAL CENTER DIALYSIS LLC,1325 S RESERVE ST,,MISSOULA,MT,59801,Missoula,(406) 728-6585,Profit,Yes,"Dialysis Clinic, Inc.",21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282313,12,Chadron Community Hospital Dialysis,825 Centenial Drive,,CHADRON,NE,69337,Dawes,(308) 432-5586,Non-profit,No,Independent,21OCT2022-14JUL2023,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282314,12,Box Butte Dialysis Unit,Box Butte General Hospital,2101 Box Butte Ave,ALLIANCE,NE,69301,Box Butte,(308) 761-3325,Non-profit,No,Independent,21OCT2022-14JUL2023,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282315,12,Cherry County Hospital Dialysis Unit,510 N Green St,,VALENTINE,NE,69201,Cherry,(402) 376-2525,Non-profit,No,Independent,21OCT2022-14JUL2023,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282316,12,Avera St Anthonys Hospital ESRD,223 Adams St,,ONEILL,NE,68763,Holt,(402) 336-5123,Non-profit,No,Independent,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282318,12,York General Dialysis Services,2315 N Lincoln Ave,,York,NE,68467,York,(402) 363-6631,Non-profit,No,Independent,21OCT2022-14JUL2023,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282319,12,Children's Nebraska,111 N 84th St,,Omaha,NE,68114,Douglas,(402) 955-6155,Non-profit,No,Independent,21OCT2022-14JUL2023,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282500,12,Dialysis Center of Lincoln,7910 O St.,,LINCOLN,NE,68510,Lancaster,(402) 489-5339,Non-profit,No,Independent,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282501,12,DaVita Hastings Dialysis Center,1900 N St Joseph Ave,,HASTINGS,NE,68901,Adams,(402) 463-4893,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282502,12,DaVita Scottsbluff Dialysis Center,820 W 42nd St Suite 1600,,SCOTTSBLUFF,NE,69361,Scotts Bluff,(308) 220-3572,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282503,12,DaVita Capital City Dialysis,307 N 46th St,,LINCOLN,NE,68503,Lancaster,(402) 466-5123,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282504,12,"Dialysis Clinics, Inc - Omaha",3316 Dodge St.,,OMAHA,NE,68131,Douglas,(402) 342-0190,Non-profit,Yes,"Dialysis Clinic, Inc.",21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282506,12,DaVita Omaha West Dialysis,13014 W. Dodge Rd.,,OMAHA,NE,68154,Douglas,(402) 445-8950,Profit,Yes,DaVita,21OCT2022-14JUL2023,001,17,14,69,81,3,24,24,52,74,2,20,80,80,4,16,15,69,83,4,28,16,56,80,2,23,23,54,80,2,34,3,27
282509,12,Dialysis Center of Columbus,2452 39th Ave,,COLUMBUS,NE,68601,Platte,(402) 563-2139,Non-profit,No,Independent,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282511,12,DaVita Omaha South Dialysis,3339 L Street,,OMAHA,NE,68107,Douglas,(402) 734-0772,Profit,Yes,DaVita,21OCT2022-14JUL2023,001,20,18,62,78,2,22,19,59,77,3,21,79,79,3,19,29,52,80,3,14,19,67,85,3,16,20,64,85,3,40,3,34
282512,12,DaVita Dodge County Dialysis,1949 E 23rd Avenue South,,FREMONT,NE,68025,Dodge,(402) 721-7005,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282513,12,Dialysis Center of Lincoln Northwest,3211 Salt Creek Cirle,,Lincoln,NE,68504,Lancaster,(402) 438-7330,Non-profit,No,Independent,21OCT2022-14JUL2023,001,23,19,58,74,2,14,23,63,82,4,17,83,83,4,24,28,48,78,2,4,35,61,87,3,8,27,65,87,3,30,3,27
282514,12,DaVita Sorensen Park Dialysis,6212 N 73rd Plaza #100,,OMAHA,NE,68134,Douglas,(402) 571-4147,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282515,12,FMC - Overland Trails,5210 Parklane Dr.,,KEARNEY,NE,68847,Buffalo,(308) 233-5011,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,001,17,31,52,77,2,20,25,55,77,3,21,79,79,3,9,26,65,86,4,15,25,60,84,2,11,19,70,87,3,38,3,27
282517,12,DaVita McCook Dialysis Center,801 West C St,STE 4,MCCOOK,NE,69001,Red Willow,(308) 345-1916,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282518,12,DaVita Cornhusker Dialysis,505 Cornhusker Rd #107,,BELLEVUE,NE,68005,Sarpy,(402) 292-2813,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282519,12,FMC - North Platte,785 EAST FRANCIS,,NORTH PLATTE,NE,69101,Lincoln,(308) 696-0941,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282520,12,RAI Care Center,4411 Center Ste A,,OMAHA,NE,68105,Douglas,(402) 558-3284,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282521,12,RAI Care Center - Ames Ave,5084 Ames Ave,,OMAHA,NE,68104,Douglas,(402) 451-7754,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,001,27,12,61,73,2,23,18,59,77,3,23,77,77,3,25,27,48,72,1,15,28,57,79,2,17,24,59,82,2,30,2,22
282522,12,DaVita Grand Island Dialysis,203 East Stolley Park Road,Suite G,GRAND ISLAND,NE,68801,Hall,(308) 384-4067,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282523,12,FMC - Grand Island,3516 Richmond Circle,,GRAND ISLAND,NE,68803,Hall,(308) 384-9600,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282524,12,"Dialysis Clinic, Inc",4112 Twin Creek Dr,,BELLEVUE,NE,68123,Sarpy,(402) 934-9560,Non-profit,Yes,"Dialysis Clinic, Inc.",21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282525,12,Carl T Curtis Dialysis Clinic,ATTN Dialysis Unit,100 Indian Hills Dr,MACY,NE,68039,Thurston,(402) 837-5381,Non-profit,No,Independent,21OCT2022-14JUL2023,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282527,12,Dialysis Center of Lincoln Southwest,5355 South 16th Street,,LINCOLN,NE,68512,Lancaster,(402) 742-8500,Non-profit,No,Independent,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282528,12,Dialysis Center of Lincoln - Home,5355 South 16th Street,,LINCOLN,NE,68512,Lancaster,(402) 742-8500,Non-profit,No,Independent,21OCT2022-14JUL2023,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282529,12,DaVita Omaha Harrison Dialysis,6610 S 168th St Suite 8,,OMAHA,NE,68135,Douglas,(402) 896-4609,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282530,12,DaVita N.E. Nebraska Dialysis,610 South 13th Street,,Norfolk,NE,68701,Madison,(402) 371-9559,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282532,12,FMC - Nebraska Home Dialysis,2916 S 84TH ST,,OMAHA,NE,68124,Douglas,(402) 393-2865,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282533,12,DaVita Omaha Home Training,8021 Cass Street,,OMAHA,NE,68114,Douglas,(402) 393-2346,Profit,Yes,DaVita,21OCT2022-14JUL2023,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282534,12,DaVita Beatrice Dialysis,5200 Hospital Parkway,,BEATRICE,NE,68310,Gage,(402) 223-7848,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282535,12,FRESENIUS KIDNEY CARE OMAHA WEST,15801 WEST DODGE ROAD,,OMAHA,NE,68118,Douglas,(402) 697-7553,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282536,12,DCI - Spring Street,7070 Spring Street,,OMAHA,NE,68106,Douglas,(402) 505-8004,Non-profit,Yes,"Dialysis Clinic, Inc.",21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282537,12,Carl T Curtis Health Ed Center Satellite Clinic,204 Main St,,Walthill,NE,68067,Thurston,(402) 837-5381,Non-profit,No,Independent,21OCT2022-14JUL2023,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292500,15,292500 DESERT INN DIALYSIS (FMC),"2545 S BRUCE ST, STE 100",,LAS VEGAS,NV,89169,Clark,(702) 735-5477,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,001,27,18,55,73,2,22,18,60,77,3,24,76,76,2,20,33,47,78,2,11,28,61,85,3,16,18,66,85,3,98,3,25
292501,15,DaVita Las Vegas Dialysis Center,150 S VALLEY VIEW BLVD,,LAS VEGAS,NV,89107,Clark,(702) 878-0908,Profit,Yes,DaVita,21OCT2022-14JUL2023,001,29,20,51,71,2,18,18,64,81,4,18,82,82,4,11,43,46,82,3,6,26,68,87,3,4,27,69,88,3,32,3,17
292504,15,DaVita North Las Vegas Dialysis Center,2065 North Las Vegas Blvd.,,NORTH LAS VEGAS,NV,89030,Clark,(702) 639-0469,Profit,Yes,DaVita,21OCT2022-14JUL2023,001,44,14,42,59,1,32,15,53,71,1,28,72,72,1,45,31,24,61,1,30,30,40,71,1,34,23,43,70,1,53,1,23
292505,15,DaVita Sparks Dialysis Center,777 Vista Blvd,,SPARKS,NV,89434,Washoe,(775) 356-3978,Profit,Yes,DaVita,21OCT2022-14JUL2023,001,22,20,58,77,2,24,25,51,73,2,25,75,75,2,18,29,53,81,3,21,20,59,82,2,23,16,61,85,3,36,2,23
292506,15,292506 NORTHWEST LAS VEGAS DIALYSIS (FMC),3150 N TENAYA WAY STE 110,,LAS VEGAS,NV,89128,Clark,(702) 233-8801,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292507,15,DaVita Las Vegas Renal Center,2333 RENAISSANCE DR,,LAS VEGAS,NV,89119,Clark,(702) 740-8580,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292508,15,292508 CARSON CITY DIALYSIS (DCI),778 BASQUE WAY,,CARSON CITY,NV,89706,Carson City,(775) 883-5400,Non-profit,Yes,"Dialysis Clinic, Inc.",21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292511,15,DaVita Pahrump Dialysis Center,330 S LOLA LN STE 100,,PAHRUMP,NV,89048,Nye,(775) 751-4300,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292512,15,DaVita South Las Vegas Dialysis Center,2250 S RANCHO DR STE 115,,LAS VEGAS,NV,89102,Clark,(702) 795-1771,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292513,15,292513 SOUTH PECOS (FMC),6330 S PECOS STE 110,,LAS VEGAS,NV,89120,Clark,(702) 433-3079,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,001,19,25,56,77,2,19,21,60,79,3,26,74,74,2,15,42,43,81,3,17,22,61,84,2,16,22,62,85,3,66,3,22
292515,15,DaVita Summerlin Dialysis Center,653 N TOWN CENTER DR STE 70,,LAS VEGAS,NV,89144,Clark,(702) 360-6908,Profit,Yes,DaVita,21OCT2022-14JUL2023,001,38,18,44,63,1,16,12,72,84,4,21,79,79,3,39,23,38,67,1,13,6,81,88,4,15,17,68,87,3,36,3,27
292516,15,292516 ELKO DIALYSIS (DCI),1995 ERRECART BLVD STE 100,,ELKO,NV,89801,Elko,(775) 738-4090,Non-profit,Yes,"Dialysis Clinic, Inc.",21OCT2022-14JUL2023,001,10,18,72,87,4,6,15,79,90,5,11,89,89,5,3,34,63,89,5,1,16,83,94,5,1,20,79,95,5,31,5,48
292517,15,DaVita Green Valley at Home,1489 W WARM SPRINGS RD STE 122,,HENDERSON,NV,89014,Clark,(702) 450-8877,Profit,Yes,DaVita,21OCT2022-14JUL2023,001,21,16,63,77,2,14,17,69,84,4,18,82,82,4,19,34,47,79,3,9,29,62,86,3,17,19,64,84,2,34,3,26
292518,15,DaVita Reno Dialysis Center,1500 E 2ND ST STE 101,,RENO,NV,89502,Washoe,(775) 329-2100,Profit,Yes,DaVita,21OCT2022-14JUL2023,001,28,19,53,72,2,17,26,57,78,3,25,75,75,2,26,25,49,78,2,8,38,54,86,3,11,24,65,88,3,45,3,22
292519,15,292519 LAKE MEAD NORTH (FMC),1581 Mount Mariah Drive,Suite 100,LAS VEGAS,NV,89106,Clark,(702) 647-4089,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,001,26,13,61,75,2,25,20,55,74,2,30,70,70,1,29,27,44,77,2,17,35,48,82,2,15,31,54,84,2,52,2,20
292520,15,DaVita Sierra Rose Dialysis Center,685 SIERRA ROSE DR,,RENO,NV,89511,Washoe,(775) 829-6580,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292521,15,DaVita Southern Hills Dialysis Center,9280 W SUNSET RD STE 110,,LAS VEGAS,NV,89148,Clark,(702) 318-3167,Profit,Yes,DaVita,21OCT2022-14JUL2023,001,26,20,54,72,2,21,15,64,79,3,14,86,86,5,20,24,56,79,3,12,15,73,88,4,13,12,75,87,3,39,3,25
292522,15,DaVita Anthem Village Dialysis,2530 ANTHEM VILLAGE DR,,HENDERSON,NV,89052,Clark,(702) 614-0590,Profit,Yes,DaVita,21OCT2022-14JUL2023,001,16,14,70,83,3,5,22,73,89,5,11,89,89,5,14,18,68,87,4,1,25,74,92,5,2,18,80,94,5,30,5,29
292523,15,292523 American Dialysis  Centers  Las Vegas,4107 W Cheyenne Avenue,Suite A,North Las Vegas,NV,89032,Clark,(702) 383-9741,Profit,No,Independent,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292524,15,DaVita Siena Henderson Dialysis Center,2865 SIENA HEIGHTS DR STE 141,,HENDERSON,NV,89052,Clark,(702) 260-0348,Profit,Yes,DaVita,21OCT2022-14JUL2023,001,16,13,71,83,3,12,10,78,88,5,22,78,78,3,19,34,47,81,3,11,17,72,90,4,13,7,80,91,4,31,4,21
292525,15,DaVita Desert Springs Dialysis,2110 E FLAMINGO RD STE 108,,LAS VEGAS,NV,89119,Clark,(702) 696-9768,Profit,Yes,DaVita,21OCT2022-14JUL2023,001,36,16,48,64,1,12,20,68,85,5,32,68,68,1,34,29,37,67,1,10,27,63,87,3,5,26,69,90,4,33,3,22
292526,15,DaVita South Meadows Dialysis Center,10085 DOUBLE R BLVD STE 160,,RENO,NV,89521,Washoe,(775) 852-4200,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292527,15,292527 FIRE MESA DIALYSIS (FMC),2450 Fire Mesa St,Suite 180,Las Vegas,NV,89128,Clark,(702) 384-2242,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,001,22,16,62,76,2,18,19,63,80,4,22,78,78,3,18,31,51,79,3,10,26,64,86,3,9,28,63,87,3,51,3,19
292528,15,DaVita Fallon Dialysis,1103 NEW RIVER PKWY,,FALLON,NV,89406,Churchill,(775) 428-2077,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292529,15,292529 SOUTH RAINBOW DIALYSIS (FMC),7040 W SUNSET RD,,LAS VEGAS,NV,89113,Clark,(702) 248-1807,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,001,16,12,72,84,4,20,17,63,79,3,29,71,71,1,13,20,67,85,4,11,22,67,87,3,17,6,77,88,3,51,3,23
292531,15,DaVita Centennial Dialysis Center,8775 W DEER SPRINGS WAY,,LAS VEGAS,NV,89149,Clark,(702) 395-2488,Profit,Yes,DaVita,21OCT2022-14JUL2023,001,25,26,49,73,2,13,20,67,84,4,20,80,80,4,22,37,41,80,3,6,37,57,86,3,10,30,60,85,3,30,3,22
292532,15,DaVita Desert Valley Dialysis,350 FALCON RIDGE PKWY STE 104,Bldg 700,MESQUITE,NV,89027,Clark,(702) 345-4144,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292533,15,292533 LIBERTY DIALYSIS - RENO HOME DIALYSIS,601 SIERRA ROSE DR STE 201,,RENO,NV,89511,Washoe,(775) 829-9961,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292534,15,DaVita The Nevada Dialysis Center,1510 W WARM SPRINGS RD STE 100,,HENDERSON,NV,89014,Clark,(702) 451-2131,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292535,15,292535 GARDNERVILLE DIALYSIS (DCI),1281 KIMMERLING RD STE A1,,GARDNERVILLE,NV,89460,Douglas,(775) 265-4706,Non-profit,Yes,"Dialysis Clinic, Inc.",21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292537,15,292537 LIBERTY DIALYSIS - SOUTH RENO,601 SIERRA ROSE DR STE 101,,RENO,NV,89511,Washoe,(775) 624-8055,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292538,15,DaVita Five Star Dialysis Center,2400 TECH CENTER CT,,LAS VEGAS,NV,89128,Clark,(702) 869-3771,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292539,15,DaVita Carson City Dialysis Center,3246 N CARSON ST STE 110,,CARSON CITY,NV,89706,Carson City,(775) 886-6450,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292540,15,292540 LIBERTY DIALYSIS - CARSON CITY,4500 S CARSON ST,,CARSON CITY,NV,89701,Carson City,(775) 461-7250,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292541,15,292541 LIBERTY DIALYSIS - NORTHWEST RENO,6144 MAE ANNE AVE,,RENO,NV,89523,Washoe,(775) 747-1100,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292542,15,292542 CENTENNIAL DIALYSIS (FMC),7465 W AZURE DR STE 1A,,LAS VEGAS,NV,89130,Clark,(702) 395-2602,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,001,35,20,45,66,1,22,20,58,76,3,25,75,75,2,33,29,38,71,1,6,24,70,87,3,10,21,69,88,3,48,2,21
292543,15,292543 LIBERTY DIALYSIS - LAS VEGAS (FMC),5815 S. Rainbow Blvd.,,Las Vegas,NV,89118,Clark,(702) 425-1560,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,001,15,14,71,84,4,12,16,72,85,5,18,82,82,4,10,25,65,89,5,7,8,85,92,5,6,12,82,93,5,38,5,22
292544,15,292544 WEST SAHARA DIALYSIS (FMC),7710 WEST SAHARA AVE STE 120,,LAS VEGAS,NV,89117,Clark,(702) 243-2763,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,001,9,14,77,89,5,8,14,78,90,5,13,87,87,5,7,29,64,90,5,1,13,86,96,5,2,7,91,97,5,39,5,25
292545,15,292545 LIBERTY DIALYSIS - SPARKS (FMC),5915 S LOS ALTOS PKWY,,SPARKS,NV,89436,Washoe,(775) 200-0108,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,001,22,19,59,77,2,13,20,67,84,4,21,79,79,3,19,30,51,78,2,8,21,71,89,4,10,14,76,88,3,36,3,29
292547,15,DaVita Spring Valley Dialysis,3855 S JONES BLVD,STE 101,LAS VEGAS,NV,89103,Clark,(702) 248-0379,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292548,15,DaVita Cheyenne Dialysis,3291 N Buffalo DR,"BLDG A, STE 150",LAS VEGAS,NV,89129,Clark,(702) 396-1045,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292549,15,292549 NORTHEAST LAS VEGAS (FMC),321 N. Nellis Blvd Suite 120,,LAS VEGAS,NV,89110,Clark,(702) 531-3558,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,001,25,22,53,73,2,14,25,61,82,4,16,84,84,5,30,31,39,74,1,11,36,53,83,2,12,23,65,87,3,39,3,17
292550,15,292550 SANDERLING DIALYSIS CENTER,701 E 15TH ST,,ELY,NV,89301,White Pine,(775) 289-8150,Profit,Yes,Other,21OCT2022-14JUL2023,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292551,15,292551 FMC-Oasis,1661 W Horizon Ridge Parkway,Suite 101,HENDERSON,NV,89012,Clark,(702) 614-4301,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,001,17,23,60,79,3,11,17,72,86,5,21,79,79,3,18,32,50,80,3,0,26,74,92,5,1,14,85,94,5,38,4,21
292552,15,DaVita Pelican Point Dialysis,7316 W Cheyenne Ave,,LAS VEGAS,NV,89129,Clark,(702) 395-0227,Profit,Yes,DaVita,21OCT2022-14JUL2023,001,25,15,60,75,2,17,15,68,82,4,15,85,85,5,23,30,47,77,2,13,20,67,87,3,12,17,71,89,3,54,3,31
