"Facility Name","CMS Certification Number (CCN)","Alternate CCN","Address","City","State","Zip Code","Network","Total Performance Score","State Average Total Performance Score","National Average Total Performance Score","Payment Reduction Percentage"
"DaVita Saline County Dialysis","042558","-","GROUND LEVEL-1200 N MAIN STE 2","BENTON","AR","72015","Network 13","53","62","64","0.5%"
"DaVita Salt Creek Dialysis","142855","-","196 W. NORTH AVENUE","VILLA PARK","IL","60181","Network 10","72","64","64","0.0%"
"DaVita Sampson County Home Training","342712","-","331 NORTH BLVD","CLINTON","NC","28328","Network 6","No Score","68","64","0.0%"
"DaVita San Angelo Dialysis","672719","-","3518 KNICKERBOCKER RD","SAN ANGELO","TX","76904","Network 14","73","63","64","0.0%"
"DaVita San Antonio West Dialysis","452587","-","4530 CALLAGHAN ROAD","SAN ANTONIO","TX","78228","Network 14","64","63","64","0.0%"
"DaVita San Bernardino Home Training","552776","-","966 E. HOSPITALITY LANE","SAN BERNARDINO","CA","92408","Network 18","80","65","64","0.0%"
"DaVita San Bruno Dialysis","552878","-","841 SAN BRUNO AVENUE WEST","SAN BRUNO","CA","94066","Network 17","78","65","64","0.0%"
"DaVita Sandford Boulevard Dialysis","332778","-","120 E. SANDFORD BLVD","Mount Vernon","NY","10550","Network 2","78","61","64","0.0%"
"DaVita Sandhills Dialysis","342690","-","934 S. LONG DRIVE","Rockingham","NC","28379","Network 6","71","68","64","0.0%"
"DaVita Sandia Peak Dialysis","322556","-","10410 COPPER POINTE WAY NE","ALBUQUERQUE","NM","87123","Network 15","76","71","64","0.0%"
"DaVita San Diego East Dialysis","052883","-","292 EUCLID AVENUE, SUITE 100","San Diego","CA","92114","Network 18","70","65","64","0.0%"
"DaVita San Diego South Dialysis","052799","-","995 GATEWAY CENTER WAY, SUITE 101","San Diego","CA","92102","Network 18","64","65","64","0.0%"
"DaVita Sandusky Dialysis Center","362700","-","211 LAKESIDE PARK","SANDUSKY","OH","44870","Network 9","83","61","64","0.0%"
"Davita Sandy Shores Dialysis","682674","-","5947 20TH STREET","Vero Beach","FL","32966","Network 7","48","57","64","0.5%"
"DaVita Sanford Dialysis","102827","-","902 S PERSIMMON AVE","Sanford","FL","32771","Network 7","54","57","64","0.5%"
"DaVita San Francisco Dialysis","052719","-","1499 WEBSTER STREET","SAN FRANCISCO","CA","94115","Network 17","48","65","64","0.5%"
"DaVita San Francisco Home Training (PD)","552736","-","1493 WEBSTER STREET","SAN FRANCISCO","CA","94115","Network 17","46","65","64","1.0%"
"DaVita Sanger Sequoia Dialysis","552650","-","2517 JENSEN AVENUE BUILDING B","SANGER","CA","93657","Network 17","74","65","64","0.0%"
"DaVita San Jacinto Dialysis","452530","-","11430 E FREEWAY","HOUSTON","TX","77029","Network 14","62","63","64","0.0%"
"DaVita San Jose at Home","552602","-","4400 STEVENS CREEK BLVD. SUITE 50","SAN JOSE","CA","95129","Network 17","81","65","64","0.0%"
"DaVita San Juan Capistrano South Dialysis","052648","-","31736 RANCHO VIEJO ROAD, SUITE B","SAN JUAN CAPISTRANO","CA","92675","Network 18","58","65","64","0.0%"
"DaVita San Juan Dialysis","322561","-","4525 ROWE AVE","Farmington","NM","87402","Network 15","71","71","64","0.0%"
"DaVita San Leandro Dialysis","552633","-","15555 EAST 14TH STREET SUITE 520","SAN LEANDRO","CA","94578","Network 17","65","65","64","0.0%"
"DaVita San Leandro Marina Dialysis","552749","-","2551 MERCED ST","SAN LEANDRO","CA","94577","Network 17","60","65","64","0.0%"
"DaVita San Luis Obispo Dialysis","052811","-","1043 MARSH STREET","San Luis Obispo","CA","93401","Network 18","76","65","64","0.0%"
"DaVita San Marcos Dialysis Center","552618","-","2135 MONTIEL ROAD, BLDG. B","San Marcos","CA","92069","Network 18","78","65","64","0.0%"
"DaVita-San Marino Home Training Center","752520","-","900 HUNTINGTON DRIVE SUITE. B","San Marino","CA","91108","Network 18","87","65","64","0.0%"
"DaVita San Pablo Dialysis","052560","-","14020 SAN PABLO AVENUE","SAN PABLO","CA","94806","Network 17","68","65","64","0.0%"
"DaVita San Rafael Dialysis","552794","-","1415 3RD STREET","SAN RAFAEL","CA","94901","Network 17","74","65","64","0.0%"
"DaVita San Ramon Valley Home Training","552842","-","1320 EL CAPITAN DR STE 210","DANVILLE","CA","94526","Network 17","78","65","64","0.0%"
"DaVita Santa Clara Dialysis","552737","-","777 LAWRENCE EXPRESSWAY","SANTA CLARA","CA","95051","Network 17","67","65","64","0.0%"
"DaVita Santa Fe Springs Dialysis","552597","-","11147 WASHINGTON BLVD.","Whittier","CA","90606","Network 18","61","65","64","0.0%"
"DaVita Santa Monica Dialysis","052665","-","1260 15TH STREET, SUITE 102","Santa Monica","CA","90404","Network 18","66","65","64","0.0%"
"DaVita Santa Paula Dialysis","052800","-","253 MARCH STREET","Santa Paula","CA","93060","Network 18","81","65","64","0.0%"
"DaVita Santa Rosa Dialysis","102726","-","5819 HIGHWAY 90","MILTON","FL","32583","Network 7","73","57","64","0.0%"
"DaVita Santa Rosa Springs Dialysis","552862","-","18 EAST FULTON ROAD","SANTA ROSA","CA","95403","Network 17","54","65","64","0.5%"
"DaVita Santee Dialysis","422547","-","228 BRADFORD BLVD","SANTEE","SC","29142","Network 6","74","67","64","0.0%"
"DaVita San Ysidro Dialysis","052866","-","1445 30TH STREET, SUITE A AND B","San Diego","CA","92154","Network 18","72","65","64","0.0%"
"DaVita Sapulpa Dialysis","372560","-","9647 RIDGEVIEW ST","TULSA","OK","74131","Network 13","71","66","64","0.0%"
"DaVita Satilla River Dialysis","112817","-","308 CARSWELL AVE","WAYCROSS","GA","31501","Network 6","54","59","64","0.5%"
"DaVita Sauget Dialysis","142561","-","2061 GOOSE LAKE ROAD","SAUGET","IL","62206","Network 10","56","64","64","0.5%"
"DaVita Savannah Gateway Dialysis","112859","-","5973 OGEECHEE ROAD","SAVANNAH","GA","31419","Network 6","70","59","64","0.0%"
"DaVita Savannah Riverside at Home","112891","-","540 E OGLETHORPE AVE","SAVANNAH","GA","31401","Network 6","75","59","64","0.0%"
"DaVita Sayreville","312702","-","2909 WASHINGTON ROAD STE 130","Parlin","NJ","08859","Network 3","72","66","64","0.0%"
"DaVita Schaeffer Drive Dialysis","232583","-","18100 SCHAEFER HWY","DETROIT","MI","48235","Network 11","55","63","64","0.5%"
"DaVita Schaumburg Renal Center","142654","-","1156 S. ROSELLE RD.","SCHAUMBURG","IL","60193","Network 10","75","64","64","0.0%"
"DaVita Scotlandville Dialysis","192720","-","7797 HOWELL BLVD","BATON ROUGE","LA","70807","Network 13","89","68","64","0.0%"
"DaVita Scott County Dialysis","242567","-","7456 SOUTH PARK DR","SAVAGE","MN","55378","Network 11","87","71","64","0.0%"
"DaVita Scottsbluff Dialysis Center","282502","-","820 W 42ND ST SUITE 1600","SCOTTSBLUFF","NE","69361","Network 12","50","67","64","0.5%"
"DaVita Scottsburg Dialysis","152646","-","1619 W. MCCLAIN AVE.","SCOTTSBURG","IN","47170","Network 9","62","64","64","0.0%"
"DaVita Scranton Dialysis","392729","-","475 MORGAN HIGHWAY","Scranton","PA","18508","Network 4","72","64","64","0.0%"
"DaVita Sealy Dialysis","672606","-","2242 CHAMPIONSHIP DRIVE","SEALY","TX","77474","Network 14","56","63","64","0.5%"
"DaVita Searcy Dialysis","042514","-","3208 LANGLEY DR","SEARCY","AR","72143","Network 13","54","62","64","0.5%"
"DaVita Seaview Dialysis Center","502562","-","101 18TH ST SE","LONG BEACH","WA","98631","Network 16","71","67","64","0.0%"
"DaVita Seaway Dialysis","332759","-","999 E. RIDGE ROAD","ROCHESTER","NY","14621","Network 2","57","61","64","0.0%"
"DaVita SEDC Burgaw Dialysis Center","342558","-","704 SOUTH DICKERSON STREET","BURGAW","NC","28425","Network 6","75","68","64","0.0%"
"DaVita SEDC Elizabethtown Dialysis Center","342578","-","101 DIALYSIS DRIVE","ELIZABETHTOWN","NC","28337","Network 6","55","68","64","0.5%"
"DaVita SEDC Jacksonville Dialysis Center","342532","-","14 OFFICE PARK DRIVE","JACKSONVILLE","NC","28546","Network 6","59","68","64","0.0%"
"DaVita SEDC Kenansville Dialysis Center","342535","-","133 LIMESTONE RD","Kenansville","NC","28349","Network 6","53","68","64","0.5%"
"DaVita SEDC Shallotte Dialysis Center","342582","-","4770 SHALLOTTE AVENUE","Shallotte","NC","28470","Network 6","81","68","64","0.0%"
"DaVita SEDC Whiteville Dialysis Center","342521","-","608 PECAN LANE","WHITEVILLE","NC","28472","Network 6","88","68","64","0.0%"
"DaVita SEDC Wilmington Dialysis Center","342511","-","2215 YAUPON DRIVE","WILMINGTON","NC","28401","Network 6","59","68","64","0.0%"
"DaVita Seguin Dialysis","672707","-","618 E COURT ST","SEGUIN","TX","78155","Network 14","68","63","64","0.0%"
"DaVita Selinsgrove Dialysis","392628","-","1030 NORTH SUSQUEHANNA TRAIL","Selinsgrove","PA","17870","Network 4","78","64","64","0.0%"
"DaVita Sells Dialysis","032513","-","HWY 86 - MP 113","SELLS","AZ","85634","Network 15","67","64","64","0.0%"
"DaVita Selma Dialysis","052770","-","2711 CINEMA WAY #111","SELMA","CA","93662","Network 17","61","65","64","0.0%"
"DaVita Selmer Dialysis","442592","-","771 MULBERRY AVENUE","Selmer","TN","38375","Network 8","74","64","64","0.0%"
"DaVita Seneca Dialysis","362622","-","10 ST. LAWRENCE DRIVE","TIFFIN","OH","44883","Network 9","67","61","64","0.0%"
"DaVita Senoia Dialysis","852518","-","105 VILLAGE CIRCLE","SENOIA","GA","30276","Network 6","55","59","64","0.5%"
"DaVita Sequoia Dialysis","552721","-","440 N. 11TH STREET","HANFORD","CA","93230","Network 18","54","65","64","0.5%"
"DaVita Serrano Dialysis","552830","-","1800 MEDICAL CENTER DR. SUITE 150","SAN BERNARDINO","CA","92411","Network 18","68","65","64","0.0%"
"DaVita Seton Drive Dialysis","212653","-","4800 SETON DRIVE","BALTIMORE","MD","21215","Network 5","61","66","64","0.0%"
"DaVita Seven Oaks Dialysis","552796","-","4651 CORPORATE COURT","BAKERSFIELD","CA","93311","Network 18","83","65","64","0.0%"
"DaVita Severn River Dialysis","212743","-","163 JENNIFER RD","Annapolis","MD","21401","Network 5","49","66","64","0.5%"
"DaVita Shaker Square Dialysis","362560","-","12800 SHAKER BLVD, STE. 1","CLEVELAND","OH","44120","Network 9","56","61","64","0.5%"
"DaVita Shamrock Dialysis","112813","-","1016 CLAXTON DAIRY ROAD STE 1A","DUBLIN","GA","31021","Network 6","43","59","64","1.0%"
"DaVita Shawnee Dialysis Center","372513","-","4409 N KICKAPOO AVE SUITE 113","SHAWNEE","OK","74804","Network 13","66","66","64","0.0%"
"DaVita Sheboygan Dialysis","522527","-","1338 N TAYLOR DR","SHEBOYGAN","WI","53081","Network 11","74","66","64","0.0%"
"DaVita Sheephead Bay Renal Care Center","332604","-","26 BRIGHTON 11TH STREET","BROOKLYN","NY","11235","Network 2","87","61","64","0.0%"
"DaVita Sheffield Dialysis","012551","-","1120 S JACKSON HWY STE 107","SHEFFIELD","AL","35660","Network 8","75","65","64","0.0%"
"DaVita Shelby County Dialysis","182635","-","50 CHURCH VIEW STREET","SHELBYVILLE","KY","40065","Network 9","78","68","64","0.0%"
"DaVita Shelbyville Road Dialysis","182614","-","4600 SHELBYVILLE ROAD, STE 310","LOUISVILLE","KY","40207","Network 9","46","68","64","1.0%"
"DaVita Shelton Dialysis","072510","-","750 BRIDGEPORT AVENUE","SHELTON","CT","06484","Network 1","70","67","64","0.0%"
"DaVita Shenandoah Dialysis","162527","-","300 PERSHING AVENUE","SHENANDOAH","IA","51601","Network 12","75","72","64","0.0%"
"DaVita Shepherdsville Dialysis Center","182600","-","150 BROOKS WAY, SUITE 15","BROOKS","KY","40109","Network 9","65","68","64","0.0%"
"DaVita Sherman Crossroads Dialysis","742535","-","209 W TRAVIS ST","SHERMAN","TX","75092","Network 14","62","63","64","0.0%"
"DaVita Sherman Dialysis Center","452774","-","1724 W US HIGHWAY 82 STE 100","SHERMAN","TX","75092","Network 14","56","63","64","0.5%"
"DaVita Shetek Dialysis, LLC","552822","-","390 S FAIR OAKS AVE","PASADENA","CA","91105","Network 18","66","65","64","0.0%"
"DaVita Shiloh Dialysis","142753","-","1095 NORTH GREEN MOUNT RD","BELLEVILLE","IL","62221","Network 10","43","64","64","1.0%"
"DaVita Shiprock Dialysis Center","322515","-","US HIGHWAY 491 N","SHIPROCK","NM","87420","Network 15","73","71","64","0.0%"
"DaVita Shoal Creek Dialysis","262676","-","8260 N BOOTH AVENUE","KANSAS CITY","MO","64158","Network 12","59","62","64","0.0%"
"DaVita Shore Dialysis","312520","-","300 WEST SYLVANIA AVENUE","Neptune","NJ","07753","Network 3","76","66","64","0.0%"
"DaVita Shrewsbury Dialysis","262572","-","7303 WATSON ROAD SUITE 7","SAINT LOUIS","MO","63119","Network 12","63","62","64","0.0%"
"DaVita Shrewsbury Street Dialysis","222592","-","267 SHREWSBURY STREET","WORCESTER","MA","01604","Network 1","68","63","64","0.0%"
"DaVita Siena Henderson Dialysis Center","292524","-","2865 SIENA HEIGHTS DR STE 141","HENDERSON","NV","89052","Network 15","62","59","64","0.0%"
"DaVita Sierra Rose Dialysis Center","292520","-","685 SIERRA ROSE DR","RENO","NV","89511","Network 15","59","59","64","0.0%"
"DaVita Sierra Vista Dialysis","032520","-","629 N HIGHWAY 90 BYP, STE 6","SIERRA VISTA","AZ","85635","Network 15","74","64","64","0.0%"
"DaVita Sikeston Jaycee Regional Dialysis","262643","-","135 PLAZA DR # 101","SIKESTON","MO","63801","Network 12","77","62","64","0.0%"
"DaVita Silicon Valley Dialysis","552711","-","725 RIDDER PARK., STE 10","SAN JOSE","CA","95131","Network 17","59","65","64","0.0%"
"DaVita Silicon Valley Home Training","552712","-","725 RIDDER PARK DR., STE 50","SAN JOSE","CA","95131","Network 17","73","65","64","0.0%"
"DaVita Silverado Dialysis","052565","-","1100 TRANCAS ST","NAPA","CA","94558","Network 17","82","65","64","0.0%"
"DaVita Silverbridge Home Training","142757","-","2410 ALFT LANE, STE 101","ELGIN","IL","60124","Network 10","35","64","64","1.5%"
"DaVita Silver Lake Dialysis","552659","-","2723 W. TEMPLE ST","Los Angeles","CA","90026","Network 18","53","65","64","0.5%"
"DaVita Silver Spring Dialysis","212593","-","8040 GEORGIA AVE","SILVER SPRING","MD","20910","Network 5","60","66","64","0.0%"
"DaVita Silver Springs Shores Dialysis","682530","-","9310 SPRING RD","OCALA","FL","34472","Network 7","54","57","64","0.5%"
"DaVita Silverton Dialysis","362633","-","6929 SILVERTON AVENUE","CINCINNATI","OH","45236","Network 9","58","61","64","0.0%"
"DaVita Simi Valley Dialysis","052638","-","970 ENCHANTED WAY","Simi Valley","CA","93065","Network 18","64","65","64","0.0%"
"DaVita Singelton Farms Dialysis","442753","-","4031 AUSTIN PEAY HWY","MEMPHIS","TN","38128","Network 8","50","64","64","0.5%"
"DaVita Singing River Dialysis","252516","-","4907 TELEPHONE RD","PASCAGOULA","MS","39567","Network 8","43","68","64","1.0%"
"DaVita Sioux Falls Community Dialysis","432503","-","2326 W 69TH ST","SIOUX FALLS","SD","57108","Network 11","73","74","64","0.0%"
"DaVita Siskiyou Dialysis","382583","-","50 ROSSANLEY DR","Medford","OR","97501","Network 16","63","67","64","0.0%"
"DaVita Skyline Home Dialysis","142560","-","7009 W. BELMONT AVE.","CHICAGO","IL","60634","Network 10","No Score","64","64","0.0%"
"DaVita Slidell Kidney Care","192556","-","662 ROBERT BLVD","SLIDELL","LA","70458","Network 13","67","68","64","0.0%"
"DaVita Smoky Mountain Dialysis","342649","-","1611 ANDREWS RD","MURPHY","NC","28906","Network 6","86","68","64","0.0%"
"DaVita Smyrna Dialysis","442671","-","537 STONECREST PKWY","SMYRNA","TN","37167","Network 8","54","64","64","0.5%"
"DaVita Snapfinger Dialysis","112646","-","5255 SNAPFINGER PARK DRIVE SUITE 115","DECATUR","GA","30035","Network 6","68","59","64","0.0%"
"DaVita Snellville Dialysis","112806","-","2135 MAIN STREET EAST","SNELLVILLE","GA","30078","Network 6","56","59","64","0.5%"
"DaVita Soco Dialysis","492688","-","1384 ARMORY DRIVE","FRANKLIN","VA","23851","Network 5","67","66","64","0.0%"
"DaVita Socorro Dialysis","672842","-","10697 N. LOOP DR.","SOCORRO","TX","79927","Network 14","68","63","64","0.0%"
"DaVita Soledad Dialysis Center","052892","-","901 LOS COCHES DRIVE","SOLEDAD","CA","93960","Network 17","74","65","64","0.0%"
"DaVita Somerset County Dialysis","392778","-","229 S. KIMBERLY AVENUE, SUITE 100","Somerset","PA","15501","Network 4","76","64","64","0.0%"
"DaVita Somerset Dialysis Center","312574","-","240 CHURCHILL AVENUE","SOMERSET","NJ","08873","Network 3","50","66","64","0.5%"
"DaVita Sooner Dialysis","372562","-","1561 N PORTER AVE","NORMAN","OK","73071","Network 13","61","66","64","0.0%"
"DaVita Sorensen Park Dialysis","282514","-","6212 N 73RD PLAZA #100","OMAHA","NE","68134","Network 12","59","67","64","0.0%"
"DaVita Soundview Dialysis Center","332590","-","1622-24  BRUCKNER BLVD","BRONX","NY","10473","Network 2","63","61","64","0.0%"
"DaVita South Arkansas Dialysis","042536","-","620 W GROVE ST","EL DORADO","AR","71730","Network 13","69","62","64","0.0%"
"DaVita South Austin Dialysis Center","452892","-","6114 SOUTH 1ST STREET","AUSTIN","TX","78745","Network 14","39","63","64","1.0%"
"DaVita South Baldwin Dialysis Center","012565","-","150 W PEACHTREE AVE","FOLEY","AL","36535","Network 8","48","65","64","0.5%"
"DaVita South Beach Dialysis","102718","-","1711 ALTON ROAD","MIAMI BEACH","FL","33139","Network 7","82","57","64","0.0%"
"DaVita South Bend West Dialysis","152659","-","5660 NIMTZ PKWY","SOUTH BEND","IN","46628","Network 9","77","64","64","0.0%"
"DaVita South Broad Street Dialysis","392753","-","1172 S BROAD STREET","Philadelphia","PA","19146","Network 4","48","64","64","0.5%"
"DaVita South Bronx Dialysis Center","332506","-","1940 WEBSTER AVENUE","BRONX","NY","10457","Network 2","56","61","64","0.5%"
"DaVita South Brooklyn Nephrology Center","332516","-","3915 AVENUE V, SUITE 104","BROOKLYN","NY","11234","Network 2","64","61","64","0.0%"
"DaVita South Broward Artificial Kidney Center","102504","-","4401 HOLLYWOOD BLVD","HOLLYWOOD","FL","33021","Network 7","58","57","64","0.0%"
"DaVita South Charlotte Dialysis","342523","-","10504 PARK RD","CHARLOTTE","NC","28210","Network 6","61","68","64","0.0%"
"DaVita South Chico Dialysis Center","552530","-","2345 FOREST AVENUE","CHICO","CA","95928","Network 17","60","65","64","0.0%"
"DaVita South City Dialysis","262654","-","3740 S JEFFERSON AVE","SAINT LOUIS","MO","63118","Network 12","56","62","64","0.5%"
"DaVita South County Dialysis","262574","-","4145 UNION ROAD","SAINT LOUIS","MO","63129","Network 12","69","62","64","0.0%"
"DaVita Southcrest Dialysis","372567","-","10921 EAST 81ST ST","TULSA","OK","74133","Network 13","60","66","64","0.0%"
"DaVita Southcross Dialysis Center","672519","-","4602 E. SOUTHCROSS BLVD","SAN ANTONIO","TX","78222","Network 14","66","63","64","0.0%"
"DaVita South Dade Kidney Center","682508","-","11040 SW 184 STREET","CUTLER BAY","FL","33157","Network 7","62","57","64","0.0%"
"DaVita South Dean Dialysis","312697","-","100 WEST FOREST AVENUE","Englewood","NJ","07631","Network 3","59","66","64","0.0%"
"DAVITA SOUTH EDISON","312714","-","561 ROUTE 1","EDISON","NJ","08817","Network 3","64","66","64","0.0%"
"DaVita Southern Crescent Dialysis Center","112771","-","275 UPPER RIVERDALE RD SW STE B","RIVERDALE","GA","30274","Network 6","58","59","64","0.0%"
"DaVita Southern Hills Dialysis Center","292521","-","9280 W SUNSET RD STE 110","LAS VEGAS","NV","89148","Network 15","60","59","64","0.0%"
"DaVita Southern Pines Dialysis Center","342638","-","209 WINDSTAR PLACE","SOUTHERN PINES","NC","28387","Network 6","81","68","64","0.0%"
"DaVita Southfield Dialysis","672833","-","11600 BROADWAY STREET","PEARLAND","TX","77584","Network 14","57","63","64","0.0%"
"DaVita Southfield West Dialysis","232604","-","21900 MELROSE AVE","SOUTHFIELD","MI","48075","Network 11","43","63","64","1.0%"
"DaVita South Florida Dialysis","102680","-","1 OAKWOOD BLVD #100","HOLLYWOOD","FL","33020","Network 7","59","57","64","0.0%"
"DaVita South Fulton Home Training","112880","-","1275 E CLEVELAND AVE","ATLANTA","GA","30344","Network 6","44","59","64","1.0%"
"DaVita Southgate Dialysis","232535","-","14752 NORTHLINE RD","SOUTHGATE","MI","48195","Network 11","66","63","64","0.0%"
"DaVita South Gate Dialysis","552821","-","9848 ATLANTIC AVENUE","SOUTH GATE","CA","90280","Network 18","63","65","64","0.0%"
"DaVita South Hayward Dialysis","052845","-","254 JACKSON STREET","HAYWARD","CA","94544","Network 17","46","65","64","1.0%"
"DaVita South Hill Dialysis","182542","-","525 ALEXANDRIA PIKE SUITE 120","SOUTHGATE","KY","41071","Network 9","62","68","64","0.0%"
"DaVita South Holland Renal Center","142544","-","16110 LASALLE STREET","SOUTH HOLLAND","IL","60473","Network 10","63","64","64","0.0%"
"DaVita South Jackson Dialysis","442714","-","46 HARTS BRIDGE ROAD","JACKSON","TN","38301","Network 8","77","64","64","0.0%"
"DaVita Southland at Home","362509","-","3401 GLENDALE AVE","TOLEDO","OH","43614","Network 9","52","61","64","0.5%"
"DaVita South Las Vegas Dialysis Center","292512","-","2250 S RANCHO DR STE 115","LAS VEGAS","NV","89102","Network 15","74","59","64","0.0%"
"DaVita South Lincoln Dialysis","282526","-","3401 PLANTATION DRIVE SUITE 140","LINCOLN","NE","68516","Network 12","90","67","64","0.0%"
"DaVita South Little Rock Dialysis","042590","-","6115 BASELINE RD","LITTLE ROCK","AR","72209","Network 13","47","62","64","0.5%"
"DaVita South Meadows Dialysis Center","292526","-","10085 DOUBLE R BLVD STE 160","RENO","NV","89521","Network 15","71","59","64","0.0%"
"DaVita South Norwalk Dialysis","072521","-","666 WEST AVENUE","Norwalk","CT","06850","Network 1","57","67","64","0.0%"
"DaVita South Orangeburg Dialysis","422565","-","1080 SUMMERS AVENUE","ORANGEBURG","SC","29115","Network 6","75","67","64","0.0%"
"DaVita South Philadelphia Dialysis Center","392556","-","109 DICKINSON STREET","Philadelphia","PA","19147","Network 4","65","64","64","0.0%"
"DaVita Southpoint Dialysis","342683","-","415 W NC HIGHWAY 54","DURHAM","NC","27713","Network 6","69","68","64","0.0%"
"DaVita Southport Dialysis Center","342669","-","1513 N HOWE ST STE # 15","SOUTHPORT","NC","28461","Network 6","84","68","64","0.0%"
"DaVita South Ridge Dialysis","522543","-","7740 W LAYTON AVE","GREENFIELD","WI","53220","Network 11","73","66","64","0.0%"
"DaVita South Sacramento Dialysis Center","052569","-","8275 BRUCEVILLE RD.","Sacramento","CA","95823","Network 17","73","65","64","0.0%"
"DaVita South San Antonio Dialysis Center","452747","-","1313 SE MILITARY DR","SAN ANTONIO","TX","78214","Network 14","71","63","64","0.0%"
"DaVita South San Francisco at Home (PD)","552716","-","74 CAMARITAS AVE","SOUTH SAN FRANCISCO","CA","94080","Network 17","53","65","64","0.5%"
"DaVita South Shore Annex Dialysis","672779","-","16750 HIGHWAY 3","WEBSTER","TX","77598","Network 14","51","63","64","0.5%"
"DaVita South Shore Dialysis Center","672522","-","212 GULF FWY S","LEAGUE CITY","TX","77573","Network 14","49","63","64","0.5%"
"DaVita Southside Dialysis","742527","-","6018 PARKWAY DR","CORPUS CHRISTI","TX","78414","Network 14","75","63","64","0.0%"
"DaVita Southstar Adamsville Dialysis","112790","-","3651 BAKERS FERRY RD SW","ATLANTA","GA","30331","Network 6","58","59","64","0.0%"
"DaVita Southtowns Dialysis","332679","-","4910 CAMP ROAD, SUITE 100","HAMBURG","NY","14075","Network 2","75","61","64","0.0%"
"DaVita South Valley Dialysis","052744","-","17815 VENTURA BLVD., SUITE 100","Encino","CA","91316","Network 18","77","65","64","0.0%"
"DaVita Southwest Arkansas Dialysis","042545","-","405 N FREDERICK","MAGNOLIA","AR","71753","Network 13","80","62","64","0.0%"
"DaVita Southwest Atlanta Dialysis Center","112523","-","3620 MARTIN LUTHER KING JR DRIVE SW","ATLANTA","GA","30331","Network 6","48","59","64","0.5%"
"DaVita Southwest Atlanta Home Training","852501","-","3201 ATLANTA INDUSTRIAL PARKWAY NORTHWEST","ATLANTA","GA","30331","Network 6","61","59","64","0.0%"
"DaVita South West Denver Dialysis","062572","-","8601 W CROSS DR","LITTLETON","CO","80123","Network 15","61","72","64","0.0%"
"DaVita Southwest Ohio Dialysis","362594","-","215 SOUTH ALLISON AVENUE","XENIA","OH","45385","Network 9","53","61","64","0.5%"
"DaVita Southwest San Antonio Dialysis","452605","-","1620 SOMERSET RD","SAN ANTONIO","TX","78211","Network 14","79","63","64","0.0%"
"DaVita Southwest San Antonio Dialysis Center","452571","-","7515 BARLITE BLVD","SAN ANTONIO","TX","78224","Network 14","57","63","64","0.0%"
"DaVita South Williamson Dialysis","182598","-","204 APPALACHIAN PLAZA","SOUTH WILLIAMSON","KY","41503","Network 9","77","68","64","0.0%"
"DaVita South Yuma Dialysis","032556","-","7179 E 31ST PL","YUMA","AZ","85365","Network 15","74","64","64","0.0%"
"DaVita Sparks Dialysis Center","292505","-","777 VISTA BLVD","SPARKS","NV","89434","Network 15","55","59","64","0.5%"
"DaVita Sparta Dialysis","442708","-","150 SAM WALTON DR","SPARTA","TN","38583","Network 8","66","64","64","0.0%"
"DaVita Spartan Dialysis","232706","-","4530 S HAGADORN RD STE A","EAST LANSING","MI","48823","Network 11","72","63","64","0.0%"
"DaVita Speedway Dialysis","152700","-","2636 W. MICHIGAN ST.","Indianapolis","IN","46222","Network 9","59","64","64","0.0%"
"DaVita Spencer Dialysis","342730","-","1287 N.  SALISBURY AVENUE","SPENCER","NC","28159","Network 6","74","68","64","0.0%"
"DaVita Spivey Peritoneal and Home Dialysis Center","112774","-","7444 HANNOVER PARKWAY S","STOCKBRIDGE","GA","30281","Network 6","82","59","64","0.0%"
"DaVita Spokane Valley Renal Center","502537","-","12610 E MIRABEAU PKWY SUITE 100","SPOKANE","WA","99216","Network 16","67","67","64","0.0%"
"DaVita Spring Branch Dialysis","452728","-","1425 BLALOCK STE 100","HOUSTON","TX","77055","Network 14","78","63","64","0.0%"
"DaVita Spring City Dialysis","522535","-","1260 SENTRY DR","WAUKESHA","WI","53186","Network 11","70","66","64","0.0%"
"DaVita Spring Creek Dialysis","672696","-","301 EAST AIRLINE ROAD","VICTORIA","TX","77901","Network 14","51","63","64","0.5%"
"DaVita Springdale Dialysis","042568","-","2070 MCKENZIE ROAD","SPRINGDALE","AR","72762","Network 13","80","62","64","0.0%"
"DaVita Spring Dialysis","452787","-","607 TIMBERDALE LANE, SUITE 100","HOUSTON","TX","77090","Network 14","70","63","64","0.0%"
"DaVita Springfield Central Dialysis","142586","-","600 NORTH GRAND AVE W","SPRINGFIELD","IL","62702","Network 10","56","64","64","0.5%"
"DaVita Springfield Montvale Dialysis","142590","-","2930 S MONTVALE DRIVE, STE A","SPRINGFIELD","IL","62704","Network 10","68","64","64","0.0%"
"DaVita Springfield South Dialysis","142733","-","2930 SOUTH 6TH ST.","SPRINGFIELD","IL","62703","Network 10","53","64","64","0.5%"
"DaVita Springhill Dialysis","042513","-","SPRINGHILL MEDICAL PLAZA","NORTH LITTLE ROCK","AR","72117","Network 13","53","62","64","0.5%"
"DaVita Springhurst Dialysis","182577","-","10201 CHAMPION FARMS DR","LOUISVILLE","KY","40241","Network 9","75","68","64","0.0%"
"DaVita Springs Dialysis","012693","-","218 MAIN STREET","TRUSSVILLE","AL","35173","Network 8","60","65","64","0.0%"
